LibID	QualityFilter	Replicate1_NumReads	Replicate2_NumReads	Replicate1_ExpressionMean	Replicate2_ExpressionMean	Replicate1_ExpressionNoise	Replicate2_ExpressionNoise
3770.000000	0.000000	49.000000	41.000000	4.134900	4.261300	0.100933	0.041779
3771.000000	0.000000	481.000000	190.000000	4.832600	2.283600	0.110889	0.028696
3772.000000	0.000000	197.000000	79.000000	3.075400	1.481100	0.001056	0.007992
3773.000000	0.000000	11.000000	17.000000				
3774.000000	0.000000	1332.000000	1646.000000	6.268500	7.641400	0.028832	0.039323
3775.000000	0.000000	25.000000	116.000000		12.479200		0.001116
3776.000000	0.000000	24.000000	13.000000				
3777.000000	0.000000	1903.000000	230.000000	2.323100	2.644400	0.080429	0.034596
3778.000000	0.000000	183.000000	417.000000	6.023200	11.860200	0.002333	0.039840
3779.000000	0.000000	1.000000	6.000000				
3780.000000	1.000000	2266.000000	1157.000000	5.637700	5.634200	0.037133	0.067496
3781.000000	0.000000	287.000000	23.000000	4.856500		0.015550	
3782.000000	0.000000	17.000000	27.000000		1.952800		0.019628
3783.000000	1.000000	4368.000000	1530.000000	5.841900	5.908600	0.036557	0.073984
3784.000000	0.000000	676.000000	879.000000	5.117900	5.035700	0.082082	0.019182
3785.000000	0.000000	476.000000	62.000000	19.220000	1.865800	0.054522	0.164755
3786.000000	1.000000	2672.000000	1846.000000	5.087800	5.292500	0.052167	0.039641
3787.000000	0.000000	333.000000	564.000000	4.915100	5.002100	0.040966	0.070650
3788.000000	0.000000	2.000000	7.000000				
3789.000000	0.000000	2100.000000	231.000000	2.032100	1.942300	0.029550	0.009900
3790.000000	0.000000	860.000000	1149.000000	1.944300	2.147200	0.021727	0.016978
3791.000000	0.000000	471.000000	635.000000	16.538900	15.869900	0.009526	0.021756
3792.000000	0.000000	1617.000000	740.000000	2.177600	2.326400	0.033966	0.011946
3793.000000	0.000000	439.000000	13.000000	2.414800	16.762900	0.018306	0.003181
3794.000000	0.000000	14.000000	152.000000		3.351700		0.024996
3795.000000	1.000000	2412.000000	1000.000000	3.164500	3.294500	0.042148	0.063001
3796.000000	0.000000	783.000000	2548.000000	3.726900	3.603600	0.027822	0.023716
3797.000000	0.000000	1010.000000	1069.000000	1.856400	1.938900	0.040321	0.120201
3798.000000	1.000000	8529.000000	11636.000000	1.427900	1.587800	0.029964	0.037210
3799.000000	1.000000	7819.000000	5380.000000	1.708300	1.862700	0.019127	0.025792
3800.000000	0.000000	719.000000	838.000000	5.995900	5.589800	0.146536	0.051938
3801.000000	1.000000	10218.000000	22003.000000	3.406600	3.415500	0.075515	0.062700
3802.000000	1.000000	10233.000000	6298.000000	3.677100	3.938700	0.047480	0.056074
3803.000000	0.000000	548.000000	215.000000	6.744300	7.413000	0.060467	0.001927
3804.000000	0.000000	8852.000000	19486.000000	3.439700	3.433400	0.187922	0.061653
3805.000000	1.000000	5819.000000	4850.000000	4.356800	4.293500	0.035419	0.065025
3806.000000	0.000000	509.000000	256.000000	3.762100	8.396500	0.040120	0.024367
3807.000000	1.000000	3182.000000	7814.000000	1.988800	2.024100	0.065485	0.104135
3808.000000	1.000000	8295.000000	2116.000000	3.464600	3.711900	0.070650	0.046656
3809.000000	0.000000	76.000000	478.000000	0.754900	15.419700	0.035834	0.026439
