Abundance and Variation Measurements for Strains Grown in YEPD and SD
			Corrected Abundance Measurements					SD/YEPD Ratios			Log2 (SD/YEPD) Ratios			Changes in YEPD		Changes in SD			Reason Absent?							
ORF	Name		Ave. YEPD	Error	Ave. SD	Error		Ratio	Error		Log2	Error		Up 99% confidence	Up 2-fold	Up 99% confidence	Up 2-fold		YEPD	SD			Ave. CV YEPD	DM YEPD	Ave. CV SD	DM SD
YJR116W			60.0	21.54																Abundance Low			33.915	6.562		
YJR117W	STE24		926.0	42.79	492.5	32.96		0.532	0.043		-0.911	0.117		1									14.72	-0.521	14.8	0.721
YJR118C	ILM1		46.5	21.19																Abundance Low						
YJR119C																			Abundance Low	Abundance Low						
YJR121W	ATP2		1081.0	48.11	2827.0	121.47		2.615	0.162		1.387	0.089				1	1						34.175	19.155	21.215	8.822
YJR122W	CAF17																		Abundance Low	Abundance Low						
YJR127C	ZMS1																		Abundance Low	Abundance Low						
YJR129C																			Abundance Low	Abundance Low						
YJR130C	STR2				166.0	24.87													Abundance Low						17.405	1.508
YJR131W	MNS1		105.5	22.00	120.5	23.10		1.142	0.324		0.192	0.409											26.885	2.470	17.34	-0.844
YJR132W	NMD5		262.0	25.10	101.5	23.51		0.387	0.097		-1.368	0.362		1	1								18.95	0.297	21.44	4.273
YJR133W	XPT1																		Abundance Low	Abundance Low						
YJR134C	SGM1																		Abundance Low	Abundance Low						
YJR135C	MCM22																		Abundance Low	Abundance Low						
YJR136C																			Abundance Low	Abundance Low						
YJR137C	ECM17		90.5	21.98	53.5	22.90		0.591	0.291		-0.758	0.710											29.745	4.614		
YJR138W	IML1																		Abundance Low	Abundance Low						
YJR139C	HOM6		484.0	30.44	591.0	38.19		1.221	0.110		0.288	0.130											17.78	1.094	12.45	-1.276
YJR140C	HIR3																		Abundance Low	Abundance Low						
YJR143C	PMT4				51.1	21.78													Abundance Low						18.315	-0.345
YJR145C	RPS4A		7577.0	268.63	5842.0	239.60		0.771	0.042		-0.375	0.078		1									11.565	-1.116	8.675	-3.354
YJR146W																			Abundance Low	Abundance Low						
YJR147W	HMS2		102.5	22.15																Abundance Low			26.075	2.242		
YJR148W	BAT2		735.0	37.42	1022.0	52.67		1.390	0.101		0.476	0.105				1							30.79	15.040	22.695	9.564
YJR149W																			Abundance Low	Abundance Low						
YJR154W																			Abundance Low	Abundance Low						
YJR161C	COS5																		Abundance Low	Abundance Low						
YKL001C	MET14																		Abundance Low	Abundance Low						
YKL002W	DID4		71.0	21.69	97.5	23.59		1.373	0.535		0.458	0.562											29.87	3.187		
YKL003C	MRP17																		Abundance Low	Abundance Low						
YKL004W	AUR1		324.0	26.47	259.5	26.25		0.801	0.104		-0.320	0.188											17.435	-0.522	15.34	0.083
YKL006C-A	SFT1		94.5	21.84	67.5	22.04		0.714	0.286		-0.485	0.577											24.06	-0.277		
YKL006W	RPL14A		4400.0	159.62	3631.5	152.67		0.825	0.046		-0.277	0.080		1									9.46	-3.640	9.825	-2.416
YKL007W	CAP1		332.0	26.70	338.0	29.88		1.018	0.122		0.026	0.172											18.92	1.028	12.8	-1.714
YKL008C	LAC1		344.0	26.68	174.5	24.20		0.507	0.081		-0.979	0.229		1									20.16	2.158	17.73	1.262
YKL009W	MRT4		461.0	29.50	308.0	29.18		0.668	0.076		-0.582	0.165		1									14.77	-2.060	14.325	-0.238
YKL010C	UFD4		94.5	22.02																Failed QC			23.09	-0.846		
YKL011C	CCE1																		Abundance Low	Abundance Low						
YKL012W	PRP40																		Abundance Low	Abundance Low						
YKL013C	ARC19		308.5	26.12	334.5	28.18		1.084	0.130		0.117	0.172											19.285	0.998	15.485	1.062
YKL014C	URB1		237.0	24.61	136.5	24.85		0.576	0.121		-0.796	0.302		1									19.15	0.261	17.35	0.826
YKL015W	PUT3																		Abundance Low	Abundance Low						
YKL016C	ATP7		233.5	24.28	291.5	27.24		1.248	0.175		0.320	0.202											24.89	5.471	18.42	3.192
YKL017C	HCS1																		Abundance Low	Abundance Low						
YKL018C-A			62.0	21.39	58.0	22.10		0.935	0.481		-0.096	0.742														
YKL019W	RAM2																		Abundance Low	Abundance Low						
YKL020C	SPT23																		Abundance Low	Abundance Low						
YKL021C	MAK11		221.5	24.02	120.5	23.00		0.544	0.119		-0.878	0.317		1									20.255	0.790		
YKL022C	CDC16																		Abundance Low	Failed QC/Abundance Low						
YKL023W			45.5	21.34	71.0	23.04		1.560	0.890		0.642	0.823													16.61	-1.125
YKL024C	URA6		358.5	27.28	200.4	24.82		0.559	0.081		-0.839	0.210		1									18.605	0.954	17.61	2.293
YKL025C	PAN3		93.5	22.01	77.0	22.98		0.824	0.313		-0.280	0.548											23.91	-0.132	17.32	-0.677
YKL026C	GPX1																		Abundance Low	Abundance Low						
YKL027W			259.0	25.04	264.5	27.73		1.021	0.146		0.030	0.206											18.955	0.254	13.8	-1.070
YKL028W	TFA1		183.0	23.52	132.5	24.09		0.724	0.161		-0.466	0.321											20.61	0.412	15.535	-1.018
YKL029C	MAE1		312.0	26.21	410.5	31.58		1.316	0.150		0.396	0.164				1							22.23	4.222	17.3	3.045
YKL032C	IXR1		319.5	26.37	250.5	26.96		0.784	0.106		-0.351	0.196											17.7	-0.282	15.61	0.472
YKL033W	FMP47																		Abundance Low	Abundance Low						
YKL035W	UGP1		974.0	44.64	1055.5	53.41		1.084	0.074		0.116	0.098											15.56	0.378	15.815	2.730
YKL038W	RGT1																		Abundance Low	Abundance Low						
YKL040C	NFU1		351.0	27.10	288.0	28.45		0.821	0.103		-0.285	0.181											18.93	1.257	14.435	-0.304
YKL041W	VPS24		165.0	22.97	164.0	23.89		0.994	0.200		-0.009	0.291											22.74	1.775		
YKL042W	SPC42				58.0	22.82													Abundance Low						18.165	-0.175
YKL043W	PHD1																		Abundance Low	Abundance Low						
YKL046C	DCW1		403.0	28.35	288.5	28.41		0.716	0.087		-0.482	0.175		1									16.6	-0.687	13.78	-0.970
YKL047W																			Abundance Low	Abundance Low						
YKL048C	ELM1																		Abundance Low	Abundance Low						
YKL049C	CSE4		111.0	22.28	161.0	24.19		1.450	0.364		0.537	0.362														
YKL051W	SFK1		133.5	22.65	546.5	34.70		4.094	0.742		2.033	0.261				1	1						25.51	3.495	14.93	0.990
YKL052C	ASK1		192.5	23.71	153.5	23.68		0.797	0.157		-0.327	0.285											19.775	-0.092		
YKL053C-A	MDM35		101.0	22.12																Abundance Low			24.745	2.182		
YKL054C	DEF1		3520.0	129.40	3119.0	132.46		0.886	0.050		-0.174	0.081											12.45	-0.876	11.46	-0.866
YKL055C	OAR1																		Abundance Low	Abundance Low						
YKL056C			6145.5	219.41	4668.9	193.71		0.760	0.042		-0.396	0.079		1									10.485	-2.335	11.685	-0.418
YKL058W	TOA2		121.5	22.26	58.0	22.17		0.477	0.202		-1.067	0.612											25.415	2.463		
YKL059C	MPE1		78.0	21.78	76.0	23.15		0.974	0.403		-0.037	0.596											23.215	-2.055	18.015	0.208
YKL060C	FBA1		50570.5	1752.37	36032.5	1407.75		0.713	0.037		-0.489	0.075		1									11.15	-0.709		
YKL061W			87.0	21.73	70.3	22.06		0.808	0.324		-0.308	0.579											26.24	0.778	17.975	0.521
YKL063C			68.0	21.64	156.0	24.07		2.295	0.812		1.198	0.510				1	1						22.845	-4.162	13.71	-1.688
YKL064W	MNR2		50.0	21.40	60.2	21.98		1.204	0.677		0.268	0.812													17.985	0.319
YKL065C	YET1		452.0	29.27	442.0	31.28		0.978	0.094		-0.032	0.138											19.34	2.248	14.555	0.212
YKL067W	YNK1		694.0	36.23	654.0	38.00		0.942	0.074		-0.086	0.113											17.52	1.662	14.25	0.720
YKL068W	NUP100		158.5	23.08	98.4	22.77		0.621	0.170		-0.688	0.394											22.775	1.602	17.575	0.487
YKL069W			146.5	22.87	128.8	23.16		0.879	0.209		-0.186	0.344											21.075	-0.303	16.45	0.540
YKL071W			6838.0	243.20	5994.5	247.64		0.877	0.048		-0.190	0.079		1									12.295	-0.443	9.39	-2.631
YKL072W	STB6																		Abundance Low	Abundance Low						
YKL073W	LHS1																		Abundance Low	Abundance Low						
YKL074C	MUD2																		Abundance Low	Abundance Low						
YKL075C					70.0	23.02													Abundance Low						16.795	-1.183
YKL077W			666.5	35.44	309.0	28.94		0.464	0.050		-1.109	0.155		1	1								16.11	0.192	13.805	-0.796
YKL078W	DHR2																		Abundance Low	Abundance Low						
YKL079W	SMY1		98.5	22.09	86.5	23.17		0.878	0.307		-0.187	0.504											25.85	2.374	18.27	0.445
YKL080W	VMA5		949.5	43.52	740.0	41.10		0.779	0.056		-0.360	0.104		1									13.515	-1.669	14.14	0.601
YKL081W	TEF4		4954.0	178.55	2784.0	119.08		0.562	0.031		-0.831	0.081		1									13.94	0.934	12.19	-0.185
YKL085W	MDH1		383.0	27.86	986.0	51.48		2.574	0.231		1.364	0.129				1	1						31.265	13.737	18.66	5.476
YKL086W	SRX1				69.1	22.10													Abundance Low						19.26	1.694
YKL088W			183.0	23.52	240.5	26.73		1.314	0.223		0.394	0.245											20.485	0.188	15.34	0.179
YKL089W	MIF2		55.5	21.48																Abundance Low						
YKL091C					56.0	22.76													Abundance Low							
YKL092C	BUD2		48.5	21.38	70.5	22.85		1.454	0.795		0.540	0.789													16.69	-1.842
YKL094W	YJU3		316.5	26.30	277.0	28.04		0.875	0.115		-0.192	0.189											17.995	-0.038	13.435	-1.387
YKL095W	YJU2																		Abundance Low	Abundance Low						
YKL096W	CWP1		1006.0	45.64	661.5	40.78		0.658	0.050		-0.605	0.110		1									37.875	22.726	29.055	15.501
YKL096W-A	CWP2		7350.0	261.12	4260.3	178.90		0.580	0.032		-0.787	0.079		1									15.605	2.887		
YKL101W	HSL1																		Abundance Low	Abundance Low						
YKL102C																			Failed QC	Abundance Low						
YKL103C	LAP4		71.0	21.70	129.0	24.22		1.817	0.652		0.861	0.517											37.175	9.822	34.855	18.213
YKL105C																			Abundance Low	Abundance Low						
YKL106W	AAT1		102.0	22.14	106.5	23.81		1.044	0.325		0.062	0.450											24.56	1.207	17.385	0.434
YKL108W	SLD2																		Abundance Low	Abundance Low						
YKL110C	KTI12		83.0	21.86																Abundance Low			24.935	0.821		
YKL112W	ABF1		325.5	26.51	269.0	27.52		0.826	0.108		-0.275	0.189											18.395	0.599	17.175	2.248
YKL113C	RAD27		97.0	22.07	75.0	23.12		0.773	0.296		-0.371	0.553											25.88	2.081	16.505	-1.395
YKL114C	APN1																		Abundance Low	Abundance Low						
YKL116C	PRR1		113.0	22.31	101.5	23.44		0.898	0.273		-0.155	0.438											24.575	1.784	17.74	0.074
YKL117W	SBA1		2017.0	78.57	1483.0	70.00		0.735	0.045		-0.444	0.088		1									12.71	-1.252	10.53	-2.291
YKL119C	VPH2																		Abundance Low	Abundance Low						
YKL120W	OAC1		953.0	43.65	613.0	36.87		0.643	0.049		-0.637	0.109		1									21.405	6.212	19.105	5.278
YKL122C	SRP21		276.0	25.40	275.6	26.61		0.998	0.133		-0.002	0.192											16.645	-1.850	13.905	-0.726
YKL125W	RRN3																		Abundance Low	Abundance Low						
YKL126W	YPK1		319.0	26.36	308.5	28.62		0.967	0.120		-0.048	0.179											17.82	-0.182	13.875	-0.831
YKL127W	PGM1		174.0	23.36	65.5	22.67		0.376	0.140		-1.410	0.536		1	1								21.715	1.102	19.75	1.193
YKL128C	PMU1		201.0	23.86	233.5	26.89		1.162	0.192		0.216	0.239											25.015	5.614	18.62	3.603
YKL129C	MYO3		218.5	24.21	260.5	27.31		1.192	0.182		0.254	0.220											21.71	2.159	16.115	1.091
YKL130C	SHE2		129.0	22.57	106.5	23.81		0.826	0.234		-0.277	0.410											22.195	0.365	16.45	-0.396
YKL134C	37164				58.0	22.56													Abundance Low							
YKL135C	APL2		164.0	23.18	156.5	24.63		0.954	0.202		-0.068	0.305											17.97	-2.756	16.35	0.260
YKL138C	MRPL31		162.0	23.14	175.4	24.24		1.083	0.215		0.115	0.287											22.785	2.045	15.655	0.200
YKL139W	CTK1		52.0	21.42	48.0	22.39		0.923	0.575		-0.115	0.898														
YKL140W	TGL1				49.5	22.44													Abundance Low							
YKL142W	MRP8		297.0	25.86	433.0	32.70		1.458	0.168		0.544	0.166				1							20.86	2.625	14.475	0.370
YKL143W	LTV1		255.5	24.97	175.5	25.41		0.687	0.120		-0.542	0.252											18.57	-0.138	15.56	-0.047
YKL145W	RPT1		1220.5	52.40	762.5	44.08		0.625	0.045		-0.679	0.104		1									12.695	-2.015		
YKL146W	AVT3		63.0	21.41	66.5	22.05		1.055	0.501		0.077	0.685													18.135	0.486
YKL149C	DBR1																		Abundance Low	Abundance Low						
YKL150W	MCR1																		Abundance Low	Abundance Low						
YKL151C					73.5	23.10													Abundance Low						17.165	-0.588
YKL152C	GPM1		13331.5	467.06	11464.0	462.30		0.860	0.046		-0.218	0.077		1									10.465	-1.887	9.36	-2.445
YKL154W	SRP102		385.5	27.63	287.5	26.92		0.746	0.088		-0.423	0.170		1									15.38	-2.028	15.115	-0.077
YKL155C	RSM22		53.5	21.45	60.0	22.59		1.121	0.617		0.165	0.794											25.175	-1.968		
YKL156W	RPS27A		4055.5	147.73	2829.4	119.43		0.698	0.039		-0.519	0.080		1									12.905	-0.269	12.09	-0.258
YKL157W	APE2		364.5	27.42	289.0	28.15		0.793	0.098		-0.335	0.178											20.52	2.816	17.455	2.550
YKL160W	ELF1		275.5	25.40	301.0	40.05		1.093	0.177		0.128	0.234											16.905	-1.609	13.775	-0.715
YKL162C																			Abundance Low	Abundance Low						
YKL164C	PIR1		538.0	31.89	108.5	23.78		0.202	0.046		-2.310	0.328		1	1								42.39	26.443	58.84	42.258
YKL165C	MCD4		174.5	23.37	139.4	23.53		0.799	0.172		-0.324	0.311											20.05	-0.272	15.98	0.141
YKL166C	TPK3		91.5	21.80	57.5	21.88		0.628	0.282		-0.670	0.648											22.895	-2.328		
YKL167C	MRP49		229.5	24.43	299.6	27.34		1.306	0.183		0.385	0.202											20.08	0.751	13.03	-1.519
YKL168C	KKQ8																		Abundance Low	Abundance Low						
YKL169C																			No Measurement	Failed QC/Abundance Low						
YKL170W	MRPL38		72.0	21.70	116.6	22.94		1.620	0.583		0.696	0.519											25.64	-0.621	15.88	-0.525
YKL173W	SNU114		76.5	21.76	59.5	22.64		0.778	0.369		-0.363	0.685											26.73	1.169		
YKL175W	ZRT3																		Abundance Low	Abundance Low						
YKL176C	LST4																		Abundance Low	Abundance Low						
YKL179C	COY1		95.5	22.04	64.5	22.73		0.675	0.285		-0.566	0.608											23.865	0.032		
YKL180W	RPL17A		2481.0	94.13	1832.0	83.24		0.738	0.044		-0.438	0.085		1									13.545	-0.162	11.85	-0.815
YKL181W	PRS1		277.5	25.45	238.5	26.97		0.859	0.125		-0.218	0.210											17.665	-0.748	14.115	-0.956
YKL182W	FAS1		4903.5	177.23																Failed QC			14.655	1.639		
YKL183W	LOT5		71.5	21.69	49.0	22.61		0.685	0.378		-0.545	0.797											25.79	-0.190		
YKL184W	SPE1				54.0	22.71													Abundance Low							
YKL185W	ASH1																		Abundance Low	Abundance Low						
YKL186C	MTR2				734.8	40.76													Failed QC							
YKL187C																			Abundance Low	Abundance Low						
YKL189W	HYM1		52.0	21.42																Abundance Low						
YKL190W	CNB1		304.5	26.03	262.6	26.30		0.863	0.114		-0.213	0.190											16.92	-1.338	14.27	-0.480
YKL191W	DPH2		214.0	24.12	120.0	23.88		0.561	0.128		-0.835	0.330		1									20.05	0.585	17.65	0.804
YKL192C	ACP1		891.5	41.73	1210.6	57.77		1.358	0.091		0.441	0.096				1							21.79	6.561	16.92	4.022
YKL193C	SDS22		119.0	22.41	150.0	24.79		1.261	0.316		0.334	0.361											24.09	1.742	15.865	-0.139
YKL194C	MST1																		Abundance Low	Failed QC/Abundance Low						
YKL195W	FMP15		99.5	22.10	151.5	24.79		1.523	0.420		0.607	0.398											26.08	2.542	16.1	0.061
YKL197C	PEX1		51.5	21.42	60.5	22.66		1.175	0.657		0.232	0.807														
YKL204W	EAP1		200.5	23.86	250.0	27.06		1.247	0.201		0.318	0.232											19.08	-0.509	15.82	0.735
YKL205W	LOS1		69.5	21.66																Abundance Low			23.995	-2.095		
YKL206C			94.0	22.02	85.0	23.36		0.904	0.327		-0.145	0.521											25.77	2.004	16.06	-1.231
YKL208W	CBT1																		Abundance Low	Abundance Low						
YKL209C	STE6		269.5	25.26	168.7	24.11		0.626	0.107		-0.676	0.247		1									19.625	1.072	20.935	5.102
YKL210W	UBA1		2179.0	83.97	1659.0	76.74		0.761	0.046		-0.393	0.087		1									15.515	1.669	13.44	0.703
YKL211C	TRP3		545.5	32.06	1056.5	53.73		1.937	0.151		0.954	0.112				1							15.955	-0.422	13.95	0.866
YKL212W	SAC1		794.0	38.80	624.0	37.46		0.786	0.061		-0.348	0.112		1									13.96	-1.580	13.41	-0.363
YKL213C	DOA1		104.0	22.17	116.5	23.75		1.120	0.330		0.164	0.426											20.44	-2.566	16.9	0.008
YKL214C	YRA2																		Abundance Low	Failed QC/Abundance Low						
YKL215C			155.5	23.02	116.5	23.81		0.749	0.189		-0.417	0.364											23.375	2.299	18.125	1.150
YKL216W	URA1		3820.5	139.84																No Measurement			20.98	7.771		
YKL222C																			Abundance Low	Abundance Low						
YKR001C	VPS1		647.5	34.54	471.7	32.18		0.729	0.063		-0.457	0.125		1									17.115	1.075		
YKR002W	PAP1		125.5	22.52																Failed QC			22.335	0.124		
YKR003W	OSH6		169.0	23.27	147.5	24.74		0.873	0.189		-0.196	0.313											20.31	-0.167	15.835	-0.212
YKR006C	MRPL13		352.5	27.13	368.0	30.70		1.044	0.119		0.062	0.164											18.9	1.141	13.325	-1.022
YKR007W	MEH1		222.5	24.30	189.5	24.46		0.852	0.144		-0.232	0.244											18.53	-0.781	16.535	1.257
YKR008W	RSC4		415.5	28.66	291.0	28.12		0.700	0.083		-0.514	0.171		1									15.02	-2.062	17.09	2.232
YKR010C	TOF2																		Abundance Low	Abundance Low						
YKR011C																			Abundance Low	Abundance Low						
YKR013W	PRY2																		Abundance Low	Abundance Low						
YKR014C	YPT52		551.5	31.88	503.5	33.25		0.913	0.080		-0.131	0.127											15.225	-1.183	13	-1.097
YKR016W	FMP13																		Abundance Low	Abundance Low						
YKR018C			325.0	26.49	312.5	28.70		0.962	0.118		-0.057	0.177											16.575	-1.254	14.84	0.157
YKR020W	VPS51				90.8	22.43													Abundance Low						16.41	-0.380
YKR021W																			Abundance Low	Abundance Low						
YKR022C																			Abundance Low	Abundance Low						
YKR023W			58.5	21.51	51.0	22.45		0.872	0.500		-0.198	0.827														
YKR024C	DBP7		149.5	22.92	75.5	22.93		0.505	0.172		-0.986	0.491													16.68	-1.980
YKR025W	RPC37		202.0	23.88	139.0	24.50		0.688	0.146		-0.539	0.306											21.255	1.626	15.945	-0.190
YKR026C	GCN3		260.0	24.83	147.5	23.57		0.567	0.106		-0.818	0.269		1									17.405	-1.491	19.555	2.161
YKR027W	FMP50																		Abundance Low	Abundance Low						
YKR029C	SET3				48.0	22.42													Abundance Low							
YKR031C	SPO14		49.5	21.40	68.0	23.22		1.374	0.757		0.458	0.795													18.575	-0.033
YKR035W-A	DID2		230.0	24.44	206.6	24.90		0.898	0.144		-0.155	0.232											19.905	0.655	19.525	4.313
YKR036C	CAF4																		Abundance Low	Abundance Low						
YKR037C	SPC34		54.0	21.45	72.5	23.10		1.343	0.684		0.425	0.735														
YKR038C	KAE1		176.0	23.40	145.0	24.70		0.824	0.178		-0.280	0.312											18.69	-1.607	15.355	-0.735
YKR039W	GAP1				819.5	44.99													Abundance Low						26.825	13.366
YKR041W																			Abundance Low	Abundance Low						
YKR042W	UTH1																		Abundance Low	Abundance Low						
YKR043C			513.0	30.88	248.5	27.35		0.484	0.061		-1.046	0.181		1	1								16.99	0.435	15.415	0.404
YKR044W	UIP5																		Abundance Low	Abundance Low						
YKR045C			62.5	21.56																Abundance Low			25.975	-0.708		
YKR046C	PET10				133.0	24.41													Abundance Low						23.44	7.096
YKR048C	NAP1		681.5	35.90	431.5	32.54		0.633	0.058		-0.659	0.133		1									13.68	-2.186	12.5	-1.643
YKR049C	FMP46																		Abundance Low	Abundance Low						
YKR052C	MRS4		130.0	22.40	89.5	22.71		0.688	0.211		-0.539	0.443											24.785	2.295		
YKR054C	DYN1																		Abundance Low	Abundance Low						
YKR055W	RHO4																		Abundance Low	Abundance Low						
YKR057W	RPS21A		5398.5	193.77	3801.3	157.34		0.704	0.039		-0.506	0.079		1									9.8	-3.148		
YKR059W	TIF1		3514.5	129.26	2579.0	111.98		0.734	0.042		-0.447	0.082		1									11.36	-1.943	9.685	-2.755
YKR060W	UTP30		104.0	21.98	75.0	23.15		0.721	0.270		-0.472	0.540											21.47	-2.536	17.165	-0.679
YKR062W	TFA2																		Failed QC	Failed QC/Abundance Low						
YKR063C	LAS1																		Abundance Low	Abundance Low						
YKR064W																			Abundance Low	Abundance Low						
YKR065C	FMP18		198.5	23.82	183.1	24.36		0.923	0.165		-0.116	0.258											20.92	1.010	19.735	4.201
YKR066C	CCP1		132.5	22.63	111.5	23.92		0.842	0.231		-0.249	0.396											24.8	2.950	18.19	1.389
YKR067W	GPT2		167.5	23.03	195.2	24.74		1.165	0.218		0.221	0.270											22.055	1.106	15.545	0.011
YKR068C	BET3		100.5	22.12	89.0	22.40		0.885	0.296		-0.176	0.482											21.13	-2.346	17.65	0.871
YKR070W																			Abundance Low	Abundance Low						
YKR071C	DRE2		212.5	24.09	154.0	24.90		0.725	0.143		-0.465	0.285											19.63	0.229	16.735	0.710
YKR072C	SIS2		277.0	25.42	243.5	26.77		0.879	0.126		-0.186	0.207											18.015	-0.518	15.3	0.196
YKR074W			103.0	22.15	227.9	25.45		2.212	0.536		1.146	0.350				1	1						23.24	0.035	16.32	1.316
YKR075C					82.5	23.26													Abundance Low						18.135	0.830
YKR076W	ECM4																		Abundance Low	Abundance Low						
YKR077W																			Abundance Low	Abundance Low						
YKR078W																			Abundance Low	Abundance Low						
YKR079C	TRZ1		77.0	21.77	55.0	22.53		0.714	0.355		-0.485	0.718											26.46	0.746		
YKR080W	MTD1		566.0	32.28	1439.0	68.49		2.542	0.189		1.346	0.107				1	1						22.095	5.668	13.02	0.174
YKR081C	RPF2																		Failed QC	No Measurement						
YKR082W	NUP133		280.5	25.50	197.8	24.63		0.705	0.109		-0.504	0.222														
YKR083C	DAD2		138.0	22.72	101.4	22.61		0.734	0.204		-0.445	0.400														
YKR084C	HBS1		163.5	23.17	141.5	24.18		0.865	0.192		-0.208	0.320											20.155	-0.600	17.375	0.934
YKR085C	MRPL20		105.5	22.20	83.9	22.30		0.795	0.270		-0.330	0.489											22.525	-0.454	17.675	0.454
YKR086W	PRP16																		Failed QC/Abundance Low	Abundance Low						
YKR087C	OMA1																		Failed QC	Abundance Low						
YKR088C	TVP38		234.5	24.53	171.0	24.12		0.729	0.128		-0.456	0.253											19.38	0.256	16.26	-0.332
YKR089C	STC1				94.5	23.35													Abundance Low						17.895	0.409
YKR090W	PXL1		104.5	22.18	103.0	23.46		0.986	0.307		-0.021	0.449											19.755	-3.392	16.88	-0.327
YKR092C	SRP40		879.5	41.75	506.0	35.06		0.575	0.048		-0.798	0.121		1									15.115	-0.143	13.17	-0.737
YKR093W	PTR2				106.5	23.02													Abundance Low							
YKR094C	RPL40B		2718.5	102.15	2079.0	92.78		0.765	0.045		-0.387	0.084		1									12.225	-1.354	11.82	-0.744
YKR095W	MLP1		133.0	22.64	86.4	22.41		0.650	0.202		-0.622	0.448											21.52	-0.370	16.28	-0.659
YKR096W																			Abundance Low	Abundance Low						
YKR099W	BAS1																		Abundance Low	Abundance Low						
YKR100C	SKG1		158.5	23.08	144.0	24.70		0.909	0.204		-0.138	0.325											20.515	-0.481	15.185	-0.965
YKR103W	NFT1																		Abundance Low	Abundance Low						
YLL001W	DNM1				82.5	22.33													Abundance Low						17.515	0.388
YLL002W	RTT109																		Abundance Low	Abundance Low						
YLL003W	SFI1		61.0	21.54	72.0	22.89		1.180	0.561		0.239	0.686											22.74	-4.006		
YLL006W	MMM1																		Abundance Low	Abundance Low						
YLL007C																			Abundance Low	Abundance Low						
YLL008W	DRS1		455.5	29.68	265.0	37.06		0.582	0.090		-0.781	0.223		1									16.095	-0.817		
YLL009C	COX17		1195.0	51.61	783.0	42.96		0.655	0.046		-0.610	0.101		1									12.585	-2.160	13.46	0.074
YLL010C	PSR1		179.5	23.23	109.5	22.87		0.610	0.150		-0.713	0.354											20.79	0.064	16.805	-1.803
YLL011W	SOF1		405.5	28.41	211.0	25.98		0.520	0.074		-0.942	0.204		1									16.595	-0.554	16.865	1.401
YLL012W			144.5	22.84	81.0	23.00		0.561	0.182		-0.835	0.469											23.65	2.128	19.8	1.861
YLL013C	PUF3		204.0	23.92	213.0	26.06		1.044	0.177		0.062	0.244											18.13	-1.631	15.155	-0.281
YLL014W			59.0	21.35	246.8	25.82		4.184	1.576		2.065	0.543				1	1								13.615	-1.201
YLL015W	BPT1		54.0	21.45																Abundance Low						
YLL018C	DPS1		1555.0	63.44	1306.0	62.47		0.840	0.053		-0.252	0.091		1									12.42	-1.877	12.53	-0.387
YLL018C-A	COX19		343.5	26.92	207.7	25.04		0.605	0.087		-0.726	0.207		1									16.035	-1.665	14.915	-0.246
YLL022C	HIF1		113.5	22.32	76.5	23.18		0.674	0.243		-0.569	0.521											22.745	0.082	16.885	-0.922
YLL023C			180.5	23.25	291.0	26.96		1.612	0.256		0.689	0.229				1							26.27	5.047	20.305	5.113
YLL024C	SSA2		37239.5	1295.27	24135.0	965.37		0.648	0.034		-0.626	0.076		1									14.655	2.715	13.97	2.343
YLL026W	HSP104		2351.0	89.77	1931.5	87.11		0.822	0.049		-0.284	0.085		1									22.025	8.229	16.255	3.642
YLL027W	ISA1		111.0	22.28	313.5	29.01		2.824	0.624		1.498	0.319				1	1						26.84	3.943	13.9	-0.689
YLL028W	TPO1		414.0	28.32	684.0	39.11		1.652	0.147		0.724	0.129				1							28.075	10.898	21.04	7.323
YLL029W			249.5	24.84																Failed QC			17.81	-1.071		
YLL031C	GPI13		152.0	22.96	133.5	24.16		0.878	0.207		-0.187	0.340											19.635	-1.393	16.86	0.428
YLL032C			87.0	21.91	77.0	22.96		0.885	0.345		-0.176	0.563											24.11	-0.712	18.58	0.460
YLL034C	RIX7		102.0	22.14	48.0	22.39		0.471	0.242		-1.087	0.742											22.04	-1.107		
YLL036C	PRP19		108.0	22.23	91.5	23.23		0.847	0.277		-0.239	0.472											23.245	0.040	18.015	0.449
YLL038C	ENT4		165.5	23.20	141.0	24.60		0.852	0.191		-0.231	0.323											21.065	0.325	15.425	-0.771
YLL039C	UBI4		101.5	22.14	64.0	22.92		0.631	0.264		-0.665	0.605											34.165	10.498	20.03	1.781
YLL040C	VPS13		153.5	22.99	151.1	23.68		0.984	0.213		-0.023	0.313											21.265	0.284	15.325	-0.471
YLL041C	SDH2		174.0	23.13	404.0	30.25		2.322	0.354		1.215	0.220				1	1						24.54	3.697	17.12	2.606
YLL043W	FPS1		172.0	23.10	128.3	23.25		0.746	0.168		-0.423	0.325											20.495	-0.348	16.285	0.120
YLL045C	RPL8B		6189.0	221.00	5134.0	212.64		0.830	0.045		-0.270	0.079		1									12.58	-0.223	9.21	-2.873
YLL048C	YBT1		327.0	26.54	204.1	24.93		0.624	0.092		-0.680	0.212		1									19.205	1.342	16.205	0.935
YLL051C	FRE6																		Abundance Low	Abundance Low						
YLL052C	AQY2																		Abundance Low	Abundance Low						
YLL054C																			Abundance Low	Abundance Low						
YLL055W																			Abundance Low	Abundance Low						
YLL060C	GTT2																		Abundance Low	Abundance Low						
YLL061W	MMP1		46.0	21.35																Abundance Low						
YLL062C	MHT1																		Abundance Low	Abundance Low						
YLR001C					73.0	22.89													Abundance Low						17.95	-0.658
